park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
DAEJEON PARK,10,0,,47.591883,-122.312143,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LAKERIDGE PLAYGROUND,8,1,8.0,47.510314,-122.246826,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SAM SMITH PARK E,9,0,,47.590067,-122.295752,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
RIVERVIEW PLAYFIELD,4,5,0.8,47.539322,-122.348841,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JIMI HENDRIX PARK,5,4,1.25,47.588902,-122.300825,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MONTLAKE PLAYFIELD,5,3,1.67,47.641951,-122.309255,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MADISON PARK,6,2,3.0,47.635422,-122.277236,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MADISON PARK NORTH BEACH,7,0,,47.639049,-122.276715,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BHY KRACKE PARK,7,0,,47.630421,-122.348388,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JOHN ROGERS ELEMENTARY SCHOOL,7,0,,47.706168,-122.284755,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
KIRKE PARK,7,0,,47.680475,-122.367989,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SAM SMITH PARK W,6,1,6.0,47.590123,-122.30028,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BAYVIEW PLAYGROUND,4,3,1.33,47.643796,-122.386772,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FROULA PLAYGROUND,0,6,0.0,47.680532,-122.313962,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
HIGHLAND PARK PLAYGROUND,3,3,1.0,47.527373,-122.349018,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
KERRY PARK AND VIEWPOINT,6,0,,47.629167,-122.359932,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ME-KWA-MOOKS PARK,4,2,2.0,47.563161,-122.403992,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ALVIN LARKINS PARK,6,0,,47.614314,-122.288728,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SEATTLE CENTER,6,0,,47.621851,-122.351119,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
NORTHACRES PARK,3,2,1.5,47.721554,-122.326977,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
